CODIGO;DESCRIPCION;GRUPO;IMPUESTO ADICIONAL- MAS IVA ;PRECIO;
CATUNSG16;CACHANTUN 1.6 LT DESECHABLE;CCU;Bebidas analcohólicas y minerales - 10 %;5.520;
CATUNSG25;CACHANTUN 2.5LT DESECHABLE;CCU;Bebidas analcohólicas y minerales - 10 %;6.540;
CATUNSG5;CACHANTUN 500ML;CCU;Bebidas analcohólicas y minerales - 10 %;4.000;
CCU600;CCU 600ML DESECHABLE;CCU;Bebidas azucaradas - 18 %;10.200;
EXPRB;EXPRESS CCU;CCU;Bebidas azucaradas - 18 %;11.200;
GATO1A;GATORADE 1LT DESECHABLE;CCU;Bebidas azucaradas - 18 %;7.260;
GATO750;GATORADE 750ML;CCU;Bebidas azucaradas - 18 %;5.280;
L125;CCU 1.25LT RETORNABLE;CCU;Bebidas azucaradas - 18 %;12.990;
L2;CCU 2LT RETORNABLE;CCU;Bebidas azucaradas - 18 %;13.545;
L25;CCU 2.5 LT RETORNABLE;CCU;Bebidas azucaradas - 18 %;9.498;
L3;CCU 3LT DESECHABLE;CCU;Bebidas azucaradas - 18 %;12.080;
LATAK6;LATA CCU X 6 UNIDAD.;CCU;Bebidas azucaradas - 18 %;3.780;
LIPT15;TE LIPTON 1.5 LT DESECHABLE;CCU;Bebidas azucaradas - 18 %;11.526;
MASC;AGUA MAS 600ML X12 UNID;CCU;Bebidas azucaradas - 18 %;10.516;
MASP;CACHANTUN MAS 1.6 LT DESECHABLE;CCU;Bebidas azucaradas - 18 %;7.521;
RB250;REDBULL 250ML x12 unid;CCU;Bebidas azucaradas - 18 %;15.200;
RB355;RED BULL 355CC X 12 UNIDADES;CCU;Bebidas azucaradas - 18 %;20.760;
RB473;RED BULL 473CC X 12 UNIDADES;CCU;Bebidas azucaradas - 18 %;25.920;
RSTAR;ROCKSTAR 500 ML;CCU;Bebidas azucaradas - 18 %;11.160;
WATTSD;WATTS 1.5LT DESECHABLE;CCU;Bebidas azucaradas - 18 %;9.120;
WB300;WATTS BOCA ANCHA 300 ML;CCU;Bebidas azucaradas - 18 %;19.920;
AND125;COCA COLA 125 RETORNABLE;COCA COLA;Bebidas azucaradas - 18 %;10.250;
AND15DES;ANDINA 1.5LT DESECHABLE;COCA COLA;Bebidas azucaradas - 18 %;9.888;
AND2;ANDINA 2LT RETORNABLE;COCA COLA;Bebidas azucaradas - 18 %;11.880;
AND3;ANDINA 3LT RETORNABLE;COCA COLA;Bebidas azucaradas - 18 %;12.642;
AND3DES;ANDINA 3LT DESECHABLE;COCA COLA;Bebidas azucaradas - 18 %;14.850;
AND400;ANDINA DEL VALLE 400ML;COCA COLA;Bebidas azucaradas - 18 %;5.040;
AND591;ANDINA 591ML DESECHABLE;COCA COLA;Bebidas azucaradas - 18 %;5.760;
ANDVA15;ANDINA DEL VALLE DESECHABLE;COCA COLA;Bebidas azucaradas - 18 %;6.540;
BEN5;BENECDITINO 500ML;COCA COLA;Bebidas analcohólicas y minerales - 10 %;4.680;
BEN3;BENECDITINO 3LT;COCA COLA;Bebidas analcohólicas y minerales - 10 %;6.900;
BOMB200;BOMBILLIN 200CC X24;COCA COLA;Bebidas azucaradas - 18 %;6.480;
JAL;JUGO ANDINA 340ML X 6UNID;COCA COLA;Bebidas azucaradas - 18 %;3.900;
LATAC;ANDINA LATA 350ML 6 UNID.;COCA COLA;Bebidas azucaradas - 18 %;4.428;
MINIC;LATA MINI 200ML 6 UNIDAD;COCA COLA;Bebidas azucaradas - 18 %;3.330;
MONSO6;MONSTER 473ML X6 UNID.;COCA COLA;Bebidas azucaradas - 18 %;8.238;
POWA1;POWERADE 1.1LT;COCA COLA;Bebidas azucaradas - 18 %;7.550;
VIT330;VITAL 330 ML VIDRIO X 12UNID.;COCA COLA;Bebidas analcohólicas y minerales - 10 %;8.280;
VITP;VITAL 1LT;COCA COLA;Bebidas analcohólicas y minerales - 10 %;4.750;
VITSG16;VITAL 1.6LT;COCA COLA;Bebidas analcohólicas y minerales - 10 %;4.866;
VITSG600;VITAL 600ML;COCA COLA;Bebidas analcohólicas y minerales - 10 %;5.940;
ALOEO;ALOE VERA 500ML X CAJA;SCORE Y MAS;Bebidas azucaradas - 18 %;17.952;
ENER250;ENERGY DRINK 250ML;SCORE Y MAS;Bebidas azucaradas - 18 %;13.000;
ENERGY;ENERGY DRYNK 500ML;SCORE Y MAS;Bebidas azucaradas - 18 %;18.000;
FR2;Fruna 2.0 LT;SCORE Y MAS;Bebidas azucaradas - 18 %;3.490;
FR500;Fruna 500ml;SCORE Y MAS;Bebidas azucaradas - 18 %;3.590;
SCOREG;SCORE 473ML;SCORE Y MAS;Bebidas azucaradas - 18 %;19.680;
SOPA;SOPA MOLINOVA 94G X CAJA;SCORE Y MAS; IVA 19%;9.000;
KFE;CAFE HELADO NESCAFE X 6 UNID.;SCORE Y MAS;Bebidas azucaradas - 18 %;9.300;
CRISLT;CRISTAL LATA 470CC;ALCOHOL;Cervezas y bebidas alcohólicas 20.5 %;16.560;
